VisitorCheckInAndBadges,SchoolShootings,Arrests,HateCrimes,RacialTensions,StudentBullying,StudentSexualHarassment,VerbalAbuse,SexualOrientationHarassment,WidespreadDisorder,GenderIdentityHarassment,ActsofDisrespect,GangActivities,PctLimitedEnglish,PctSpecialEd,PctBelow15Percentile,PctLikelyCollege,PctAcademicAchievement,ClassroomChangeAvg,StudentAreaCrime,SchoolAreaCrime,PctAverageDailyAttendance,TotalDisciplinaryActions,TotalIncidentsReported,TotalIncidents,TotalIncidentsReportedPolice,TotalSeriousViolentIncidents,TotalSeriousViolentIncidentsPolice,TotalSpecializedTransfers,TotalViolentIncidents,TotalViolentIncidentsPolice,TotalFirearmActions,TotalDrugActions,TotalWeaponActions,TotalDisruptions,TotalFightActions,TotalAlcActions,FTSecurityCount,PTSecurityCount,Urbanicity,GradeLevel,SchoolSize,PctWhiteStudents,SchoolSecurity,SchoolProceduresRules,SchoolPreventionProgram,SchoolMentalHealthServices,SchoolTrainingProgram
1,0,1,2,5,4,5,5,5,5,5,5,5,0,10,0,60,75,6,3,3,95,3,5,8,0,0,0,0,3,0,0,0,0,0,3,0,1,0,4,1,2,2,4,5,5,2,1
1,0,1,2,5,4,5,5,5,5,5,5,5,0,22,3,40,50,1,4,2,96,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,2,1,5,4,6,0,4
1,0,1,2,5,4,5,4,5,5,5,4,5,0,23,15,65,65,2,3,3,94,1,2,3,1,0,0,0,1,1,0,0,0,0,1,0,0,1,4,1,2,2,6,5,7,0,8
1,0,1,2,5,5,5,4,5,5,5,3,5,9,18,15,20,20,6,2,3,97,4,2,6,1,0,0,0,2,1,0,0,0,0,4,0,0,0,4,1,2,3,8,5,5,0,4
1,0,1,2,4,3,5,4,5,5,5,4,5,30,20,10,80,90,8,3,3,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,7,6,6,2,4
1,0,1,2,5,4,5,5,5,5,5,5,5,0,30,25,25,35,4,3,3,96,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,2,5,5,9,1,5
1,0,1,2,5,4,4,5,4,5,4,4,5,2,9,15,40,75,5,3,3,97,0,14,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,2,10,7,6,2,9
1,0,1,2,4,3,5,4,4,4,5,4,5,14,6,12,80,80,4,3,3,96,2,5,7,0,0,0,0,2,0,0,0,0,0,2,0,0,1,4,1,2,3,8,6,11,1,6
1,0,1,2,5,4,5,5,5,5,5,4,5,18,7,5,80,98,6,4,3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,4,6,5,4,0,6
1,0,1,2,4,4,5,5,5,5,5,4,5,14,5,15,80,85,9,3,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,3,9,4,9,0,10
1,0,1,2,4,4,4,5,5,5,5,4,5,0,34,27,15,15,5,2,2,94,2,3,5,1,0,0,0,2,0,0,0,0,0,2,0,0,1,4,1,2,2,7,4,10,1,4
1,0,1,2,5,4,5,5,5,5,5,5,5,3,24,10,90,90,6,3,3,97,1,5,6,0,0,0,0,4,0,0,0,0,0,1,0,1,1,4,1,2,2,6,3,8,0,5
1,0,2,2,4,3,4,3,4,4,5,2,4,5,19,20,40,60,4,4,3,94,43,57,100,21,0,0,39,26,3,1,15,2,1,22,3,2,0,4,3,4,4,6,4,7,2,4
1,0,4,2,4,4,4,4,4,5,5,4,5,5,15,5,85,80,7,3,3,94,78,32,110,31,0,0,15,8,7,0,39,0,1,8,31,1,0,4,3,4,2,9,5,11,2,10
1,0,4,2,4,4,4,4,4,4,4,4,5,1,10,10,90,90,6,3,3,94,22,20,42,20,0,0,0,3,3,0,12,0,1,2,8,8,1,4,3,4,3,11,3,13,0,8
1,0,2,2,4,3,4,4,4,4,4,4,5,1,17,10,35,65,4,3,3,95,65,96,161,58,2,2,0,40,14,0,20,4,6,37,4,0,0,4,3,4,3,9,3,12,1,5
1,0,2,2,5,4,4,3,4,5,4,3,4,26,15,15,30,50,6,1,3,94,77,90,167,55,0,0,13,28,0,0,16,0,1,60,1,9,0,4,3,4,4,6,2,6,2,1
1,0,4,2,4,4,5,2,4,4,4,1,4,5,16,30,50,60,5,1,1,95,36,64,100,64,4,4,15,20,20,0,20,1,3,13,2,6,0,4,3,4,4,13,4,12,1,10
1,0,4,2,4,4,4,4,4,5,4,4,5,7,20,5,90,95,6,2,3,93,41,36,77,30,0,0,0,16,10,0,0,0,0,41,0,1,5,4,3,4,3,9,5,10,1,2
1,0,2,2,4,3,4,4,4,5,4,5,5,1,10,5,97,100,7,3,3,96,7,14,21,7,0,0,2,2,2,0,1,0,1,1,5,4,1,4,3,4,2,8,3,14,2,6
1,0,4,2,4,4,4,4,4,4,4,4,5,2,16,8,25,60,6,1,2,92,43,71,114,71,0,0,24,27,27,0,9,5,0,27,2,1,0,4,3,4,3,6,5,9,0,5
1,0,1,2,4,4,4,4,4,4,5,3,4,14,13,20,84,90,8,3,3,95,47,76,123,24,3,0,7,27,0,0,22,2,1,23,0,4,0,4,3,4,4,11,7,12,0,5
1,0,2,2,4,4,5,5,5,5,4,5,5,5,10,25,25,25,6,3,3,80,2,34,36,21,1,1,2,16,9,0,0,0,1,2,0,1,0,4,3,4,3,10,5,8,0,10
1,0,4,2,5,4,4,4,4,5,4,4,5,0,13,15,40,75,5,4,3,93,55,48,103,27,1,1,10,22,1,1,11,1,1,41,1,1,0,4,3,4,4,10,7,10,0,7
1,0,2,2,4,4,4,4,4,5,4,4,5,3,16,3,90,99,7,3,3,97,8,11,19,11,0,0,1,4,4,0,1,0,0,3,4,2,0,4,3,4,3,9,4,12,0,7
1,0,2,2,4,4,4,4,4,5,5,4,5,4,20,8,54,68,5,3,3,94,20,28,48,17,0,0,3,12,6,0,3,0,3,16,1,1,0,4,3,4,2,10,6,12,2,8
1,0,3,2,5,4,4,3,5,4,5,4,5,5,10,1,50,90,6,4,3,96,27,17,44,11,1,1,10,7,3,0,14,4,1,8,1,4,1,4,3,4,3,11,4,8,1,9
1,0,4,2,5,4,4,4,5,4,5,3,4,0,17,35,15,25,7,2,3,92,38,64,102,64,2,2,20,32,32,1,6,0,3,19,12,3,2,4,3,4,4,5,3,10,0,9
1,0,3,2,4,3,4,5,4,4,5,3,4,1,10,16,50,50,7,3,3,96,59,59,118,8,0,0,8,48,1,0,8,0,1,45,6,1,0,4,3,4,2,5,4,1,0,2
1,0,1,2,4,4,4,4,5,5,5,4,5,3,18,11,55,90,6,3,3,95,6,28,34,15,2,2,0,15,3,1,0,0,0,5,0,1,0,4,3,4,2,9,5,7,0,3
1,0,2,2,4,3,4,4,4,5,4,4,5,1,25,10,80,90,7,3,3,95,4,38,42,35,1,1,1,4,1,0,1,0,1,3,0,5,0,4,3,4,3,9,4,10,1,6
1,0,2,2,4,3,4,5,4,5,4,5,5,1,10,10,80,80,7,3,3,90,10,16,26,3,0,0,5,4,0,1,4,0,0,5,0,1,0,4,3,4,2,9,5,9,0,0
1,0,1,1,5,4,4,4,4,5,5,4,5,2,18,3,50,70,8,3,3,95,3,10,13,2,1,1,0,4,1,0,0,0,1,3,0,1,0,4,3,4,2,8,7,8,0,2
1,0,3,2,4,4,4,4,5,5,5,5,5,3,10,5,65,75,8,3,3,95,27,143,170,125,0,0,0,29,16,0,5,2,1,9,11,4,1,4,3,4,2,9,3,10,2,3
1,0,2,2,4,3,3,4,3,5,3,5,5,1,10,3,80,80,6,3,3,91,34,58,92,58,0,0,0,28,28,0,6,0,0,24,4,4,2,4,3,4,3,11,4,11,0,9
1,0,1,2,4,4,4,4,4,5,4,5,5,0,15,30,25,20,5,3,3,92,13,13,26,9,0,0,0,3,0,1,6,0,0,4,2,2,0,4,3,4,1,8,6,5,0,8
1,0,1,2,4,4,4,4,4,5,4,4,5,1,7,5,90,90,6,3,3,96,19,25,44,11,0,0,3,13,3,0,5,0,0,12,2,40,0,4,3,4,2,10,4,7,2,6
1,0,2,2,4,2,3,3,3,4,3,3,5,0,5,5,86,90,8,3,3,95,3,9,12,6,0,0,0,2,2,0,0,0,0,2,1,3,0,4,3,4,3,7,3,13,1,10
